title,url,price,ram,storage,graphics,display_size,generation,processor,discount
    Lenovo IdeaPad FLEX 5i 14ITL Intel Core i7 11 ...,https://www.ryanscomputers.com/lenovo-ideapad-flex-5i-14itl-intel-core-i7-1165g7-14-inch-fhd-ips-display-graphite-grey-laptop,"Tk 144,000 ",RAM - 16GB,Storage - 512GB SSD,Graphics Memory - 2GB,Display Size (Inch) - 14,Generation - 11th (Intel),Processor Type. - Core i7,not available
    Asus TUF Gaming A15 FA507RC AMD Ryzen 7 6800H ...,https://www.ryanscomputers.com/asus-tuf-gaming-a15-fa507rc-amd-ryzen-7-6800h-15.6-inch-fhd-led-display-jaeger-gray-gaming-laptop,"Tk 144,000 ",RAM - 8GB,Storage - 512GB SSD,Graphics Memory - 4GB,Display Size (Inch) - 15.6,Generation - Not Applicable,Processor Type. - Ryzen 7,not available
    Asus TUF Dash F15 FX517ZC 12th Gen Intel Core ...,https://www.ryanscomputers.com/asus-tuf-dash-f15-fx517zc-12th-gen-intel-core-i5-12450h-15.6-inch-fhd-led-display-off-black-gaming-laptop,"Tk 144,000 ",RAM - 8GB,Storage - 512GB SSD,Graphics Memory - 4GB,Display Size (Inch) - 15.6,Generation - 12th (Intel),Processor Type. - Core i5,not available
    Lenovo IdeaPad Gaming 3i 16IAH7 Intel Core i5 ...,https://www.ryanscomputers.com/lenovo-ideapad-gaming-3i-16iah7-intel-core-i5-12450h-16-inch-2k-wuxga-ips-display-onyx-grey-gaming-laptop,"Tk 144,000 ",RAM - 16GB,Storage - 512GB SSD,Graphics Memory - 4GB,Display Size (Inch) - 16,Generation - 12th (Intel),Processor Type. - Core i5,not available
    Asus VivoBook Pro 15 M3500QC AMD Ryzen 7 5800 ...,https://www.ryanscomputers.com/asus-vivobook-pro-15-m3500qc-amd-ryzen-7-5800h-quiet-blue-laptop,"Tk 144,500 ",RAM - 16GB,Storage - 512GB SSD,Graphics Memory - 4GB,Display Size (Inch) - 15.6,Generation - Not Applicable,Processor Type. - Ryzen 7,not available
    Microsoft Surface Pro 9 (Wi-Fi) 12th Gen Inte ...,https://www.ryanscomputers.com/microsoft-surface-pro-9-12th-gen-intel-core-i5-1235u-13-inch-multi-touch-display-forest-2-in-1-detachable-laptop,"Tk 145,000 ",RAM - 8GB,Storage - 256GB SSD,Graphics Memory - Shared,Display Size (Inch) - 13,Generation - 12th (Intel),Processor Type. - Core i5,not available
    Microsoft Surface Laptop 5 12th Gen Intel Cor ...,https://www.ryanscomputers.com/microsoft-surface-laptop-5-intel-core-i5-1235u-13.5-inch-pixelsense-display-platinum-alcantara-surface-laptop,"Tk 145,000 ",RAM - 8GB,Storage - 512GB SSD,Graphics Memory - Shared,Display Size (Inch) - 13.5,Generation - 12th (Intel),Processor Type. - Core i5,not available
    Microsoft Surface Laptop 5 12th Gen Intel Cor ...,https://www.ryanscomputers.com/microsoft-surface-laptop-5-12th-gen-intel-core-i5-1235u-13.5-inch-pixelsense-multi-touch-display-sandstone-metal-surface-laptop,"Tk 145,000 ",RAM - 8GB,Storage - 512GB SSD,Graphics Memory - Shared,Display Size (Inch) - 13.5,Generation - 12th (Intel),Processor Type. - Core i5,not available
    Microsoft Surface Pro 9 (Wi-Fi) Intel Core i5 ...,https://www.ryanscomputers.com/microsoft-surface-pro-9-wi-fi-intel-core-i5-1235u-13-inch-pixelsense-flow-multi-touch-display-sapphire-2-in-1-detachable-laptop,"Tk 145,000 ",RAM - 8GB,Storage - 256GB SSD,Graphics Memory - Shared,Display Size (Inch) - 13,Generation - 12th (Intel),Processor Type. - Core i5,not available
    Microsoft Surface Pro 9 (Wi-Fi) Intel Core i5 ...,https://www.ryanscomputers.com/microsoft-surface-pro-9-wi-fi-intel-core-i5-1245u-13-inch-pixelsense-flow-display-platinum-2-in-1-detachable-laptop,"Tk 145,000 ",RAM - 8GB,Storage - 256GB SSD,Graphics Memory - Shared,Display Size (Inch) - 13,Generation - 12th (Intel),Processor Type. - Core i5,not available
    Asus ExpertBook B5 Flip B5302FEA Intel Core i ...,https://www.ryanscomputers.com/asus-expertbook-b5-flip-b5302fea-intel-core-i7-13.3-inch-fhd-led-display-star-black-laptop,"Tk 147,000 ",RAM - 16GB,Storage - 512GB SSD,Graphics Memory - Shared,Display Size (Inch) - 13.3,Generation - 11th (Intel),Processor Type. - Core i7,not available
    Asus VivoBook S 16X M5602RA AMD Ryzen 7 6800H ...,https://www.ryanscomputers.com/asus-vivobook-s-16x-m5602ra-amd-ryzen-7-6800h-16-inch-display-sand-grey-laptop,"Tk 149,000 ",RAM - 16GB,Storage - 512GB SSD,Graphics Memory - Shared,Display Size (Inch) - 16,Generation - Not Applicable,Processor Type. - Ryzen 7,not available
